symbol	compound	herb_name
NQO1	menadione	Typha angustifolia
NQO1	menadione	Juglans regia
NQO1	menadione	Angelica keiskei
NQO1	menadione	Brassica oleracea var. sabauda
NQO1	menadione	Actinidia chinensis
NQO1	menadione	Allium
NQO1	menadione	Allium cepa
NQO1	menadione	Allium ampeloprasum
NQO1	menadione	Allium sativum
NQO1	menadione	Allium schoenoprasum
NQO1	menadione	Aloysia triphylla
NQO1	menadione	Anacardium occidentale
NQO1	menadione	Ananas comosus
NQO1	menadione	Anethum graveolens
NQO1	menadione	Annona reticulata
NQO1	menadione	Apium graveolens
NQO1	menadione	Arachis hypogaea
NQO1	menadione	Arctium lappa
NQO1	menadione	Armoracia rusticana
NQO1	menadione	Artemisia dracunculus
NQO1	menadione	Artemisia vulgaris
NQO1	menadione	Asparagus officinalis
NQO1	menadione	Avena sativa
NQO1	menadione	Averrhoa carambola
NQO1	menadione	Bertholletia excelsa
NQO1	menadione	Beta vulgaris
NQO1	menadione	Borago officinalis
NQO1	menadione	Brassica juncea
NQO1	menadione	Brassica napus
NQO1	menadione	Brassica napus var. napus
NQO1	menadione	Brassica oleracea
NQO1	menadione	Brassica oleracea var. botrytis
NQO1	menadione	Brassica oleracea var. gemmifera
NQO1	menadione	Brassica oleracea var. gongylodes
NQO1	menadione	Brassica oleracea var. italica
NQO1	menadione	Brassica rapa
NQO1	menadione	Brassica rapa subsp. rapa
NQO1	menadione	Cajanus cajan
NQO1	menadione	Camellia sinensis
NQO1	menadione	Capparis spinosa
NQO1	menadione	Capsicum annuum
NQO1	menadione	Carica papaya
NQO1	menadione	Carthamus tinctorius
NQO1	menadione	Carum carvi
NQO1	menadione	Carya illinoinensis
NQO1	menadione	Castanea
NQO1	menadione	Chamaemelum nobile
NQO1	menadione	Cicer arietinum
NQO1	menadione	Cichorium endivia
NQO1	menadione	Cichorium intybus
NQO1	menadione	Cinnamomum aromaticum
NQO1	menadione	Cinnamomum verum
NQO1	menadione	Citrullus lanatus
NQO1	menadione	Citrus aurantiifolia
NQO1	menadione	Citrus limon
NQO1	menadione	Citrus maxima
NQO1	menadione	Citrus reticulata
NQO1	menadione	Citrus sinensis
NQO1	menadione	Coriandrum sativum
NQO1	menadione	Corylus avellana
NQO1	menadione	Crocus sativus
NQO1	menadione	Cucumis melo
NQO1	menadione	Cucumis sativus
NQO1	menadione	Cucurbita
NQO1	menadione	Cuminum cyminum
NQO1	menadione	Curcuma longa
NQO1	menadione	Cydonia oblonga
NQO1	menadione	Cymbopogon citratus
NQO1	menadione	Cynara cardunculus var. scolymus
NQO1	menadione	Daucus carota
NQO1	menadione	Diospyros kaki
NQO1	menadione	Elettaria cardamomum
NQO1	menadione	Empetrum nigrum
NQO1	menadione	Eriobotrya japonica
NQO1	menadione	Eruca vesicaria subsp. sativa
NQO1	menadione	Eugenia
NQO1	menadione	Fagopyrum esculentum
NQO1	menadione	Fagopyrum tataricum
NQO1	menadione	Ficus carica
NQO1	menadione	Foeniculum vulgare
NQO1	menadione	Fragaria x ananassa
NQO1	menadione	Gaylussacia baccata
NQO1	menadione	Glycine max
NQO1	menadione	Helianthus annuus
NQO1	menadione	Hippophae rhamnoides
NQO1	menadione	Hordeum vulgare
NQO1	menadione	Hyssopus officinalis
NQO1	menadione	Illicium verum
NQO1	menadione	Ipomoea aquatica
NQO1	menadione	Ipomoea batatas
NQO1	menadione	Juglans nigra
NQO1	menadione	Juglans regia
NQO1	menadione	Lactuca sativa
NQO1	menadione	Lathyrus sativus
NQO1	menadione	Laurus nobilis
NQO1	menadione	Lens culinaris
NQO1	menadione	Lepidium sativum
NQO1	menadione	Levisticum officinale
NQO1	menadione	Linum usitatissimum
NQO1	menadione	Lippia graveolens
NQO1	menadione	Litchi chinensis
NQO1	menadione	Lupinus
NQO1	menadione	Malus pumila
NQO1	menadione	Mangifera indica
NQO1	menadione	Matricaria chamomilla var. recutita
NQO1	menadione	Melissa officinalis
NQO1	menadione	Mentha
NQO1	menadione	Mentha aquatica
NQO1	menadione	Mentha arvensis
NQO1	menadione	Mentha spicata
NQO1	menadione	Mentha x piperita
NQO1	menadione	Mespilus germanica
NQO1	menadione	Momordica charantia
NQO1	menadione	Morus
NQO1	menadione	Morus nigra
NQO1	menadione	Myristica fragrans
NQO1	menadione	Ocimum basilicum
NQO1	menadione	Oenothera biennis
NQO1	menadione	Olea europaea
NQO1	menadione	Origanum majorana
NQO1	menadione	Origanum onites
NQO1	menadione	Origanum vulgare
NQO1	menadione	Oryza sativa
NQO1	menadione	Panicum miliaceum
NQO1	menadione	Papaver
NQO1	menadione	Passiflora edulis
NQO1	menadione	Pastinaca sativa
NQO1	menadione	Persea americana
NQO1	menadione	Petroselinum crispum
NQO1	menadione	Phaseolus coccineus
NQO1	menadione	Phaseolus lunatus
NQO1	menadione	Phaseolus vulgaris
NQO1	menadione	Phoenix dactylifera
NQO1	menadione	Aronia melanocarpa
NQO1	menadione	Pimpinella anisum
NQO1	menadione	Pinus
NQO1	menadione	Piper nigrum
NQO1	menadione	Pistacia vera
NQO1	menadione	Pisum sativum
NQO1	menadione	Portulaca oleracea
NQO1	menadione	Prunus
NQO1	menadione	Prunus armeniaca
NQO1	menadione	Prunus avium
NQO1	menadione	Prunus cerasus
NQO1	menadione	Prunus domestica
NQO1	menadione	Prunus dulcis
NQO1	menadione	Prunus persica
NQO1	menadione	Psidium guajava
NQO1	menadione	Punica granatum
NQO1	menadione	Pyrus communis
NQO1	menadione	Raphanus sativus
NQO1	menadione	Rheum rhabarbarum
NQO1	menadione	Ribes nigrum
NQO1	menadione	Ribes rubrum
NQO1	menadione	Ribes uva-crispa
NQO1	menadione	Salvia rosmarinus
NQO1	menadione	Rubus
NQO1	menadione	Rubus chamaemorus
NQO1	menadione	Rubus idaeus
NQO1	menadione	Rubus occidentalis
NQO1	menadione	Rumex acetosa
NQO1	menadione	Salvia officinalis
NQO1	menadione	Sambucus nigra
NQO1	menadione	Satureja hortensis
NQO1	menadione	Satureja montana
NQO1	menadione	Secale cereale
NQO1	menadione	Sesamum indicum
NQO1	menadione	Solanum lycopersicum
NQO1	menadione	Solanum lycopersicum var. cerasiforme
NQO1	menadione	Septoria lycopersici var. lycopersici
NQO1	menadione	Solanum melongena
NQO1	menadione	Solanum tuberosum
NQO1	menadione	Sorbus aucuparia
NQO1	menadione	Sorghum bicolor
NQO1	menadione	Spinacia oleracea
NQO1	menadione	Syzygium aromaticum
NQO1	menadione	Tamarindus indica
NQO1	menadione	Taraxacum officinale
NQO1	menadione	Theobroma cacao
NQO1	menadione	Thymus vulgaris
NQO1	menadione	Tilia
NQO1	menadione	Tilia cordata
NQO1	menadione	Trigonella foenum-graecum
NQO1	menadione	Triticum aestivum
NQO1	menadione	Vaccinium
NQO1	menadione	Vaccinium angustifolium
NQO1	menadione	Vaccinium arboreum
NQO1	menadione	Vaccinium corymbosum
NQO1	menadione	Vaccinium macrocarpon
