phen_name	herb_name
Parkinson Disease	Coffea arabica
Parkinson Disease	Solanum lycopersicum
Parkinson Disease	Mucuna
Parkinson Disease	Mucuna pruriens
Parkinson Disease	Nicotiana tabacum
Parkinson Disease	Banisteriopsis
Parkinson Disease	Banisteriopsis caapi
Parkinson Disease	Lycium
Parkinson Disease	Lycium chinense
Parkinson Disease	Ginkgo biloba
Parkinson Disease	Podoscypha parvula
Parkinson Disease	Boletus pinetorum
Parkinson Disease	Vicia faba
Parkinson Disease	Nicotiana tabacum
Parkinson Disease	Amanita ballerina
Parkinson Disease	Secale cereale
Parkinson Disease	Caryota no
Parkinson Disease	Solanum lycopersicum
Parkinson Disease	Camellia sinensis
Parkinson Disease	Russula siamensis
Parkinson Disease	Leucoagaricus croceobasis
Parkinson Disease	Cortinarius talimultiformis
Parkinson Disease	Rhaponticum repens
Parkinson Disease	Pluteus multiformis
Parkinson Disease	Datura stramonium
Parkinson Disease	Mucuna pruriens
Parkinson Disease	Plantago ovata
Parkinson Disease	Cacaoporus tenebrosus
Parkinson Disease	Paxillus adelphus
Parkinson Disease	Oncophorus integerrimus
Parkinson Disease	Panax ginseng
Parkinson Disease	Antrodia flavimontis
Parkinson Disease	Drosophila
Parkinson Disease	Ruscus aculeatus
Parkinson Disease	Citrus
Parkinson Disease	Ginkgo biloba
Parkinson Disease	Piper methysticum
Parkinson Disease	Zea mays
Parkinson Disease	Fraxinus ornus
Parkinson Disease	Smyrnium olusatrum
Parkinson Disease	Cortinarius chrysomallus
Parkinson Disease	Bia
Parkinson Disease	Banisteriopsis caapi
Parkinson Disease	Annona muricata
Parkinson Disease	Oryza sativa
Parkinson Disease	Carica papaya
Parkinson Disease	Iris
Parkinson Disease	Cistanche salsa
Parkinson Disease	Cannabis
Parkinson Disease	Lonchocarpus utilis
Parkinson Disease	Mucuna
Parkinson Disease	Plumbago scandens
Parkinson Disease	Cannabis sativa
Parkinson Disease	Withania somnifera
Parkinson Disease	Ganoderma lucidum
Parkinson Disease	Ganoderma
Parkinson Disease	Nardostachys jatamansi
Parkinson Disease	Serendipita herbamans
Parkinson Disease	Hypericum perforatum
Parkinson Disease	Delphinium denudatum
Parkinson Disease	Salvia miltiorrhiza
Parkinson Disease	Vaccinium corymbosum
Parkinson Disease	Tripterygium wilfordii
Parkinson Disease	Paeonia
Parkinson Disease	Kraftionema allantoideum
Parkinson Disease	Toxicodendron vernicifluum
Parkinson Disease	Cistanche
Parkinson Disease	Corticium salmonicolor
Parkinson Disease	Tricholoma bryogenum
Parkinson Disease	Valeriana officinalis
Parkinson Disease	Haematococcus lacustris
Parkinson Disease	Trifolium pratense
Parkinson Disease	Senna obtusifolia
Parkinson Disease	Uncaria tomentosa
Parkinson Disease	Alocasia macrorrhizos
Parkinson Disease	Theobroma cacao
Parkinson Disease	Astragalus membranaceus
Parkinson Disease	Lindera aggregata
Parkinson Disease	Curcuma comosa
Parkinson Disease	Uncaria rhynchophylla
Parkinson Disease	Euterpe oleracea
Parkinson Disease	Curcuma longa
Parkinson Disease	Danae
Parkinson Disease	Cycas micronesica
